4
(name1)	(name2)	(file)	(line)
CM_Locate_DevNode	CM_Locate_DevNodeW		1
CM_Locate_DevNode_Ex	CM_Locate_DevNode_ExW		1
CM_Move_DevInst	CM_Move_DevNode		1
CM_Move_DevInst_Ex	CM_Move_DevNode_Ex		1
CM_Open_Class_Key	CM_Open_Class_KeyW		1
CM_Open_Class_Key_Ex	CM_Open_Class_Key_ExW		1
CM_Open_DevInst_Key	CM_Open_DevNode_Key		1
CM_Open_DevInst_Key_Ex	CM_Open_DevNode_Key_Ex		1
CM_Query_And_Remove_SubTree	CM_Query_And_Remove_SubTreeW		1
CM_Query_And_Remove_SubTree_Ex	CM_Query_And_Remove_SubTree_ExW		1
CM_Reenumerate_DevInst	CM_Reenumerate_DevNode		1
CM_Reenumerate_DevInst_Ex	CM_Reenumerate_DevNode_Ex		1
CM_Register_Device_Interface	CM_Register_Device_InterfaceW		1
CM_Register_Device_Interface_Ex	CM_Register_Device_Interface_ExW		1
CM_Request_Device_Eject	CM_Request_Device_EjectW		1
CM_Request_Device_Eject_Ex	CM_Request_Device_Eject_ExW		1
CM_Set_Class_Registry_Property	CM_Set_Class_Registry_PropertyW		1
CM_Set_DevInst_Problem	CM_Set_DevNode_Problem		1
CM_Set_DevInst_Problem_Ex	CM_Set_DevNode_Problem_Ex		1
CM_Set_DevInst_Registry_Property	CM_Set_DevNode_Registry_PropertyW		1
CM_Set_DevInst_Registry_PropertyA	CM_Set_DevNode_Registry_PropertyA		1
CM_Set_DevInst_Registry_PropertyW	CM_Set_DevNode_Registry_PropertyW		1
CM_Set_DevInst_Registry_Property_Ex	CM_Set_DevNode_Registry_Property_ExW		1
CM_Set_DevInst_Registry_Property_ExA	CM_Set_DevNode_Registry_Property_ExA		1
CM_Set_DevInst_Registry_Property_ExW	CM_Set_DevNode_Registry_Property_ExW		1
CM_Set_DevNode_Registry_Property	CM_Set_DevNode_Registry_PropertyW		1
CM_Set_DevNode_Registry_Property_Ex	CM_Set_DevNode_Registry_Property_ExW		1
CM_Set_HW_Prof_Flags	CM_Set_HW_Prof_FlagsW		1
CM_Set_HW_Prof_Flags_Ex	CM_Set_HW_Prof_Flags_ExW		1
CM_Setup_DevInst	CM_Setup_DevNode		1
CM_Setup_DevInst_Ex	CM_Setup_DevNode_Ex		1
CM_Uninstall_DevInst	CM_Uninstall_DevNode		1
CM_Uninstall_DevInst_Ex	CM_Uninstall_DevNode_Ex		1
CM_Unregister_Device_Interface	CM_Unregister_Device_InterfaceW		1
CM_Unregister_Device_Interface_Ex	CM_Unregister_Device_Interface_ExW		1
CM_WaitNoPendingInstallEvents	CMP_WaitNoPendingInstallEvents		1
CallMsgFilter	CallMsgFilterW		1
CallNamedPipe	CallNamedPipeW		1
CallWindowProc	CallWindowProcW		1
CdChangerClassGuid	GUID_DEVINTERFACE_CDCHANGER		1
CdRomClassGuid	GUID_DEVINTERFACE_CDROM		1
CertAddEncodedCertificateToSystemStore	CertAddEncodedCertificateToSystemStoreW		1
CertGetNameString	CertGetNameStringW		1
CertNameToStr	CertNameToStrW		1
CertOpenSystemStore	CertOpenSystemStoreW		1
CertRDNValueToStr	CertRDNValueToStrW		1
CertStrToName	CertStrToNameW		1
ChangeAccountPassword	ChangeAccountPasswordW		1
ChangeDisplaySettings	ChangeDisplaySettingsW		1
ChangeDisplaySettingsEx	ChangeDisplaySettingsExW		1
ChangeMenu	ChangeMenuW		1
ChangeServiceConfig	ChangeServiceConfigW		1
ChangeServiceConfig2	ChangeServiceConfig2W		1
CharLower	CharLowerW		1
CharLowerBuff	CharLowerBuffW		1
CharNext	CharNextW		1
CharPrev	CharPrevW		1
CharToOem	CharToOemW		1
CharToOemBuff	CharToOemBuffW		1
CharUpper	CharUpperW		1
CharUpperBuff	CharUpperBuffW		1
CheckNameLegalDOS8Dot3	CheckNameLegalDOS8Dot3W		1
ChooseColor	ChooseColorW		1
ChooseFont	ChooseFontW		1
ChrCmpI	ChrCmpIW		1
ClearEventLog	ClearEventLogW		1
CommConfigDialog	CommConfigDialogW		1
CommitUrlCacheEntry	CommitUrlCacheEntryW		1
CompareString	CompareStringW		1
ConfigurePort	ConfigurePortW		1
CopyAcceleratorTable	CopyAcceleratorTableW		1
CopyEnhMetaFile	CopyEnhMetaFileW		1
CopyFile	CopyFileW		1
CopyFileEx	CopyFileExW		1
CopyMetaFile	CopyMetaFileW		1
CreateAcceleratorTable	CreateAcceleratorTableW		1
CreateActCtx	CreateActCtxW		1
CreateColorSpace	CreateColorSpaceW		1
CreateDC	CreateDCW		1
CreateDesktop	CreateDesktopW		1
CreateDesktopEx	CreateDesktopExW		1
CreateDialogIndirectParam	CreateDialogIndirectParamW		1
CreateDialogParam	CreateDialogParamW		1
CreateDirectory	CreateDirectoryW		1
CreateDirectoryEx	CreateDirectoryExW		1
CreateEnhMetaFile	CreateEnhMetaFileW		1
CreateEvent	CreateEventW		1
CreateFile	CreateFileW		1
CreateFileMapping	CreateFileMappingW		1
CreateFont	CreateFontW		1
CreateFontIndirect	CreateFontIndirectW		1
CreateFontIndirectEx	CreateFontIndirectExW		1
CreateHardLink	CreateHardLinkW		1
CreateIC	CreateICW		1
CreateJobObject	CreateJobObjectW		1
CreateMDIWindow	CreateMDIWindowW		1
CreateMailslot	CreateMailslotW		1
CreateMetaFile	CreateMetaFileW		1
CreateMutex	CreateMutexW		1
CreateNamedPipe	CreateNamedPipeW		1
CreateProcess	CreateProcessW		1
CreateProcessAsUser	CreateProcessAsUserW		1
CreatePropertySheetPage	CreatePropertySheetPageW		1
CreateScalableFontResource	CreateScalableFontResourceW		1
CreateSemaphore	CreateSemaphoreW		1
CreateService	CreateServiceW		1
CreateStatusWindow	CreateStatusWindowW		1
CreateStdAccessibleProxy	CreateStdAccessibleProxyW		1
CreateUrlCacheEntry	CreateUrlCacheEntryW		1
CreateWaitableTimer	CreateWaitableTimerW		1
CreateWindowEx	CreateWindowExW		1
CreateWindowStation	CreateWindowStationW		1
CredDelete	CredDeleteW		1
CredEnumerate	CredEnumerateW		1
CredFindBestCredential	CredFindBestCredentialW		1
CredGetTargetInfo	CredGetTargetInfoW		1
CredIsMarshaledCredential	CredIsMarshaledCredentialW		1
CredIsProtected	CredIsProtectedW		1
CredMarshalCredential	CredMarshalCredentialW		1
CredPackAuthenticationBuffer	CredPackAuthenticationBufferW		1
CredProtect	CredProtectW		1
CredRead	CredReadW		1
CredReadDomainCredentials	CredReadDomainCredentialsW		1
CredRename	CredRenameW		1
CredUICmdLinePromptForCredentials	CredUICmdLinePromptForCredentialsW		1
CredUIConfirmCredentials	CredUIConfirmCredentialsW		1
CredUIParseUserName	CredUIParseUserNameW		1
CredUIPromptForCredentials	CredUIPromptForCredentialsW		1
CredUIPromptForWindowsCredentials	CredUIPromptForWindowsCredentialsW		1
CredUnPackAuthenticationBuffer	CredUnPackAuthenticationBufferW		1
CredUnmarshalCredential	CredUnmarshalCredentialW		1
CredUnprotect	CredUnprotectW		1
CredWrite	CredWriteW		1
CredWriteDomainCredentials	CredWriteDomainCredentialsW		1
CryptAcquireContext	CryptAcquireContextW		1
CryptBinaryToString	CryptBinaryToStringW		1
CryptEnumProviderTypes	CryptEnumProviderTypesW		1
CryptEnumProviders	CryptEnumProvidersW		1
CryptGetDefaultProvider	CryptGetDefaultProviderW		1
CryptRetrieveObjectByUrl	CryptRetrieveObjectByUrlW		1
CryptSetProvider	CryptSetProviderW		1
CryptSetProviderEx	CryptSetProviderExW		1
CryptSignHash	CryptSignHashW		1
CryptStringToBinary	CryptStringToBinaryW		1
CryptVerifySignature	CryptVerifySignatureW		1
DceErrorInqText	DceErrorInqTextW		1
DdeCreateStringHandle	DdeCreateStringHandleW		1
DdeInitialize	DdeInitializeW		1
DdeQueryString	DdeQueryStringW		1
DecryptFile	DecryptFileW		1
DefDlgProc	DefDlgProcW		1
DefFrameProc	DefFrameProcW		1
DefMDIChildProc	DefMDIChildProcW		1
DefWindowProc	DefWindowProcW		1
DefineDosDevice	DefineDosDeviceW		1
DeleteFile	DeleteFileW		1
DeleteForm	DeleteFormW		1
DeleteMonitor	DeleteMonitorW		1
DeletePort	DeletePortW		1
DeletePrintProcessor	DeletePrintProcessorW		1
DeletePrintProvidor	DeletePrintProvidorW		1
DeletePrinterConnection	DeletePrinterConnectionW		1
DeletePrinterData	DeletePrinterDataW		1
DeletePrinterDataEx	DeletePrinterDataExW		1
DeletePrinterDriver	DeletePrinterDriverW		1
DeletePrinterDriverEx	DeletePrinterDriverExW		1
DeletePrinterKey	DeletePrinterKeyW		1
DeleteProfile	DeleteProfileW		1
DeleteSecurityPackage	DeleteSecurityPackageW		1
DeleteUrlCacheEntry	DeleteUrlCacheEntryW		1
DeleteVolumeMountPoint	DeleteVolumeMountPointW		1
DeviceCapabilities	DeviceCapabilitiesW		1
DialogBoxIndirectParam	DialogBoxIndirectParamW		1
DialogBoxParam	DialogBoxParamW		1
DiskClassGuid	GUID_DEVINTERFACE_DISK		1
DispatchMessage	DispatchMessageW		1
DlgDirList	DlgDirListW		1
DlgDirListComboBox	DlgDirListComboBoxW		1
DlgDirSelectComboBoxEx	DlgDirSelectComboBoxExW		1
DlgDirSelectEx	DlgDirSelectExW		1
DnsHostnameToComputerName	DnsHostnameToComputerNameW		1
DoEnvironmentSubst	DoEnvironmentSubstW		1
DocumentProperties	DocumentPropertiesW		1
DragQueryFile	DragQueryFileW		1
DrawState	DrawStateW		1
DrawStatusText	DrawStatusTextW		1
DrawText	DrawTextW		1
DrawTextEx	DrawTextExW		1
EditStreamSetInfo	EditStreamSetInfoW		1
EditStreamSetName	EditStreamSetNameW		1
EncryptFile	EncryptFileW		1
EndUpdateResource	EndUpdateResourceW		1
EnumCalendarInfo	EnumCalendarInfoW		1
EnumCalendarInfoEx	EnumCalendarInfoExW		1
EnumDateFormats	EnumDateFormatsW		1
EnumDateFormatsEx	EnumDateFormatsExW		1
EnumDependentServices	EnumDependentServicesW		1
EnumDesktops	EnumDesktopsW		1
EnumDisplayDevices	EnumDisplayDevicesW		1
EnumDisplaySettings	EnumDisplaySettingsW		1
EnumDisplaySettingsEx	EnumDisplaySettingsExW		1
EnumFontFamilies	EnumFontFamiliesW		1
EnumFontFamiliesEx	EnumFontFamiliesExW		1
EnumFonts	EnumFontsW		1
EnumForms	EnumFormsW		1
EnumICMProfiles	EnumICMProfilesW		1
EnumJobs	EnumJobsW		1
EnumLanguageGroupLocales	EnumLanguageGroupLocalesW		1
EnumMonitors	EnumMonitorsW		1
EnumPageFiles	EnumPageFilesW		1
EnumPorts	EnumPortsW		1
